100134869	UBE2Q2P2
10357	HMGB1P1
155060	LOC155060
26823	RNU12-2P
280660	SSX9
340602	CXORF67
388795	EFCAB8
390284	SRP14P1
391343	LOC391343
391714	TRIM75P
404770	SPATA31B1P
441362	REXO1L6P
442388	SDR16C6P
553137	LOC553137
653553	HSPB1P1
728045	PPBPP1
728788	ANKRD20A20P
8225	GTPBP6
90288	EFCAB12
1	A1BG
29974	A1CF
54715	RBFOX1
87769	GGACT
144568	A2ML1
2	A2M
53947	A4GALT
51146	A4GNT
404744	NPSR1-AS1
8086	AAAS
729522	AACSP1
65985	AACS
344752	AADACL2
126767	AADACL3
343066	AADACL4
13	AADAC
51166	AADAT
79719	AAGAB
22848	AAK1
14	AAMP
15	AANAT
57505	AARS2
80755	AARSD1
16	AARS
60496	AASDHPPT
132949	AASDH
10157	AASS
26574	AATF
9625	AATK
18	ABAT
10349	ABCA10
79963	ABCA11P
26154	ABCA12
154664	ABCA13
650655	ABCA17P
19	ABCA1
20	ABCA2
21	ABCA3
24	ABCA4
23461	ABCA5
23460	ABCA6
10347	ABCA7
10351	ABCA8
10350	ABCA9
23456	ABCB10
8647	ABCB11
5243	ABCB1
5244	ABCB4
340273	ABCB5
10058	ABCB6
22	ABCB7
11194	ABCB8
23457	ABCB9
89845	ABCC10
85320	ABCC11
94160	ABCC12
150000	ABCC13
4363	ABCC1
1244	ABCC2
8714	ABCC3
10257	ABCC4
10057	ABCC5
653190	ABCC6P1
730013	ABCC6P2
368	ABCC6
6833	ABCC8
10060	ABCC9
215	ABCD1
225	ABCD2
5825	ABCD3
5826	ABCD4
6059	ABCE1
23	ABCF1
10061	ABCF2
55324	ABCF3
9619	ABCG1
9429	ABCG2
64137	ABCG4
64240	ABCG5
64241	ABCG8
55347	ABHD10
83451	ABHD11
145447	ABHD12B
26090	ABHD12
84945	ABHD13
25864	ABHD14A
84836	ABHD14B
116236	ABHD15
84696	ABHD1
11057	ABHD2
171586	ABHD3
63874	ABHD4
51099	ABHD5
57406	ABHD6
79575	ABHD8
10006	ABI1
10152	ABI2
25890	ABI3BP
51225	ABI3
25	ABL1
27	ABL2
3983	ABLIM1
84448	ABLIM2
22885	ABLIM3
28	ABO
26	AOC1
